2020-03-13;1
2020-03-14;0
2020-03-15;6
2020-03-16;0
2020-03-17;1
2020-03-18;3
2020-03-19;4
2020-03-20;5
2020-03-21;1
2020-03-22;3
2020-03-23;0
2020-03-24;3
2020-03-25;4
2020-03-26;0
2020-03-27;6
2020-03-28;3
2020-03-29;3
2020-03-30;3
2020-03-31;6
2020-04-01;2
2020-04-02;6
2020-04-03;9
2020-04-04;2
2020-04-05;10
2020-04-06;5
2020-04-07;7
2020-04-08;40
2020-04-09;10
2020-04-10;6
2020-04-11;19
2020-04-12;9
2020-04-13;4
2020-04-14;8
2020-04-15;74
2020-04-16;19
2020-04-17;7
2020-04-18;3
2020-04-19;18
2020-04-20;13
2020-04-21;66
2020-04-22;41
2020-04-23;43
2020-04-24;12
2020-04-25;67
2020-04-26;17
2020-04-27;26
2020-04-28;21
2020-04-29;34
2020-04-30;31
2020-05-01;34
2020-05-02;6
2020-05-03;10
2020-05-04;38
2020-05-05;20
2020-05-06;42
2020-05-07;57
2020-05-08;28
2020-05-09;143
2020-05-10;49
2020-05-11;64
2020-05-12;79
2020-05-13;139
2020-05-14;175
2020-05-15;158
2020-05-16;106
2020-05-17;88
2020-05-18;155
2020-05-19;246
2020-05-20;211
2020-05-21;299
2020-05-22;426
2020-05-23;269
2020-05-24;339
2020-05-25;302
2020-05-26;259
2020-05-27;306
2020-05-28;269
2020-05-29;211
2020-05-30;299
2020-05-31;198
2020-06-01;280
2020-06-02;179
2020-06-03;265
2020-06-04;411
2020-06-05;397
2020-06-06;286
2020-06-07;318
2020-06-08;343
2020-06-09;364
2020-06-10;431
2020-06-11;218
2020-06-12;414
2020-06-13;96
2020-06-14;303
2020-06-15;555
2020-06-16;718
2020-06-17;551
2020-06-18;814
2020-06-19;486
2020-06-20;256
2020-06-21;418
2020-06-22;780
2020-06-23;778
2020-06-24;351
2020-06-25;1037
2020-06-26;671
2020-06-27;572
2020-06-28;466
2020-06-29;734
2020-06-30;984
2020-07-01;1138
2020-07-02;1299
2020-07-03;1330
2020-07-04;790
2020-07-05;700
2020-07-06;901
2020-07-07;674
2020-07-08;1236
2020-07-09;1003
2020-07-10;1008
2020-07-11;806
2020-07-12;408
2020-07-13;1220
2020-07-14;1261
2020-07-15;939
2020-07-16;1021
2020-07-17;1191
2020-07-18;666
2020-07-19;340
2020-07-20;1296
2020-07-21;1131
2020-07-22;1073
2020-07-23;1019
2020-07-24;1272
2020-07-25;638
2020-07-26;261
2020-07-27;1209
2020-07-28;1179
2020-07-29;1271
2020-07-30;1000
2020-07-31;1163
2020-08-01;358
2020-08-02;227
2020-08-03;788
2020-08-04;1143
2020-08-05;824
2020-08-06;943
2020-08-07;903
2020-08-08;420
2020-08-09;389
2020-08-10;996
2020-08-11;1151
2020-08-12;1233
2020-08-13;1144
2020-08-14;903
2020-08-15;337
2020-08-16;310
2020-08-17;909
2020-08-18;1043
2020-08-19;1124
2020-08-20;1052
2020-08-21;943
2020-08-22;331
2020-08-23;342
2020-08-24;1152
2020-08-25;1082
2020-08-26;1141
2020-08-27;1065
2020-08-28;749
2020-08-29;227
2020-08-30;166
2020-08-31;813
2020-09-01;724
2020-09-02;681
2020-09-03;670
2020-09-04;441
2020-09-05;189
2020-09-06;146
2020-09-07;821
2020-09-08;893
2020-09-09;680
2020-09-10;694
2020-09-11;625
2020-09-12;253
2020-09-13;256
2020-09-14;455
2020-09-15;243
2020-09-16;731
2020-09-17;724
2020-09-18;742
2020-09-19;289
2020-09-20;222
2020-09-21;896
2020-09-22;752
2020-09-23;449
2020-09-24;872
2020-09-25;796
2020-09-26;395
2020-09-27;162
2020-09-28;697
2020-09-29;789
2020-09-30;684
2020-10-01;660
2020-10-02;618
2020-10-03;212
2020-10-04;209
2020-10-05;678
2020-10-06;793
2020-10-07;730
2020-10-08;426
2020-10-09;583
2020-10-10;167
2020-10-11;106
2020-10-12;520
2020-10-13;708
2020-10-14;653
2020-10-15;634
2020-10-16;571
2020-10-17;353
2020-10-18;233
2020-10-19;594
2020-10-20;157
2020-10-21;771
2020-10-22;729
2020-10-23;701
2020-10-24;156
2020-10-25;104
2020-10-26;665
2020-10-27;702
2020-10-28;552
2020-10-29;553
2020-10-30;619
2020-10-31;162
2020-11-01;38
2020-11-02;237
2020-11-03;634
2020-11-04;653
2020-11-05;634
2020-11-06;530
2020-11-07;215
2020-11-08;82
2020-11-09;765
2020-11-10;662
2020-11-11;704
2020-11-12;564
2020-11-13;549
2020-11-14;160
2020-11-15;126
2020-11-16;688
2020-11-17;600
2020-11-18;639
2020-11-19;692
2020-11-20;635
2020-11-21;191
2020-11-22;86
2020-11-23;589
2020-11-24;600
2020-11-25;664
2020-11-26;410
2020-11-27;642
2020-11-28;161
2020-11-29;91
2020-11-30;715
2020-12-01;708
2020-12-02;602
2020-12-03;735
2020-12-04;547
2020-12-05;180
2020-12-06;125
2020-12-07;785
2020-12-08;671
2020-12-09;661
2020-12-10;732
2020-12-11;562
2020-12-12;176
2020-12-13;122
2020-12-14;654
2020-12-15;722
2020-12-16;608
2020-12-17;628
2020-12-18;526
2020-12-19;168
2020-12-20;104
2020-12-21;750
2020-12-22;676
2020-12-23;633
2020-12-24;176
2020-12-25;82
2020-12-26;161
2020-12-27;116
2020-12-28;798
2020-12-29;812
2020-12-30;855
2020-12-31;207
2021-01-01;101
2021-01-02;176
2021-01-03;204
2021-01-04;849
2021-01-05;818
2021-01-06;882
2021-01-07;992
2021-01-08;1053
2021-01-09;340
2021-01-10;203
2021-01-11;1018
2021-01-12;993
2021-01-13;962
2021-01-14;1132
2021-01-15;1012
2021-01-16;308
2021-01-17;252
2021-01-18;1097
2021-01-19;1016
2021-01-20;994
2021-01-21;1224
2021-01-22;952
2021-01-23;345
2021-01-24;229
2021-01-25;1039
2021-01-26;1048
2021-01-27;1132
2021-01-28;756
2021-01-29;801
2021-01-30;394
2021-01-31;138
2021-02-01;679
2021-02-02;668
2021-02-03;683
2021-02-04;668
2021-02-05;644
2021-02-06;225
2021-02-07;106
2021-02-08;776
2021-02-09;804
2021-02-10;818
2021-02-11;751
2021-02-12;831
2021-02-13;175
2021-02-14;131
2021-02-15;701
2021-02-16;769
2021-02-17;742
2021-02-18;683
2021-02-19;670
2021-02-20;242
2021-02-21;127
2021-02-22;833
2021-02-23;692
2021-02-24;743
2021-02-25;670
2021-02-26;520
2021-02-27;190
2021-02-28;155
2021-03-01;748
2021-03-02;825
2021-03-03;642
2021-03-04;814
2021-03-05;647
2021-03-06;238
2021-03-07;216
2021-03-08;808
2021-03-09;815
2021-03-10;755
2021-03-11;871
2021-03-12;726
2021-03-13;223
2021-03-14;144
2021-03-15;946
2021-03-16;936
2021-03-17;901
2021-03-18;856
2021-03-19;947
2021-03-20;303
2021-03-21;210
2021-03-22;986
2021-03-23;1100
2021-03-24;1041
2021-03-25;977
2021-03-26;936
2021-03-27;348
2021-03-28;190
2021-03-29;302
2021-03-30;549
2021-03-31;374
2021-04-01;299
2021-04-02;207
2021-04-03;244
2021-04-04;212
2021-04-05;1352
2021-04-06;1351
2021-04-07;1533
2021-04-08;1299
2021-04-09;1343
2021-04-10;447
2021-04-11;246
2021-04-12;2007
2021-04-13;1800
2021-04-14;1563
2021-04-15;1971
2021-04-16;1629
2021-04-17;425
2021-04-18;306
2021-04-19;1645
2021-04-20;1618
2021-04-21;1830
2021-04-22;1636
2021-04-23;1510
2021-04-24;396
2021-04-25;246
2021-04-26;1083
2021-04-27;1593
2021-04-28;1638
2021-04-29;1411
2021-04-30;796
2021-05-01;206
2021-05-02;186
2021-05-03;1212
2021-05-04;1189
2021-05-05;1151
2021-05-06;1267
2021-05-07;1167
2021-05-08;220
2021-05-09;203
2021-05-10;966
2021-05-11;1418
2021-05-12;1099
2021-05-13;1382
2021-05-14;946
2021-05-15;243
2021-05-16;160
2021-05-17;1240
2021-05-18;1050
2021-05-19;1417
2021-05-20;901
2021-05-21;963
2021-05-22;354
2021-05-23;198
2021-05-24;1175
2021-05-25;1473
2021-05-26;1034
2021-05-27;1582
